,Bad,Good,pred,obs
768,0.023030585399785197,0.9769694146002148,Good,Good
792,0.023851687440645586,0.9761483125593544,Good,Good
793,0.015556962477116576,0.9844430375228834,Good,Good
798,0.11060089991969946,0.8893991000803005,Good,Good
799,0.08686511600407676,0.9131348839959232,Good,Good
804,0.023555152659022305,0.9764448473409777,Good,Good
812,0.05797542520486121,0.9420245747951388,Good,Good
817,0.028473060536098216,0.9715269394639018,Good,Good
827,0.566882316103325,0.43311768389667504,Bad,Bad
831,0.10582263313437801,0.894177366865622,Good,Good
839,0.04532609746345262,0.9546739025365474,Good,Good
846,0.07149123408412672,0.9285087659158733,Good,Good
849,0.06437626416784559,0.9356237358321544,Good,Good
850,0.14861960528189244,0.8513803947181076,Good,Bad
854,0.7881982261875904,0.21180177381240958,Bad,Bad
861,0.03763730228049156,0.9623626977195084,Good,Good
872,0.0330547149537721,0.9669452850462279,Good,Good
888,0.7881772683946384,0.2118227316053616,Bad,Bad
899,0.03659915451434004,0.96340084548566,Good,Good
901,0.1714567393342873,0.8285432606657127,Good,Bad
906,0.34931275785698157,0.6506872421430184,Good,Good
917,0.02285115493745804,0.977148845062542,Good,Good
918,0.6290936116489575,0.3709063883510425,Bad,Bad
919,0.5734467198689334,0.42655328013106664,Bad,Bad
922,0.19705389304650822,0.8029461069534918,Good,Good
934,0.02287459183097673,0.9771254081690233,Good,Good
938,0.4751426030407755,0.5248573969592245,Good,Good
946,0.9327113428248633,0.06728865717513664,Bad,Good
966,0.3554220456926481,0.6445779543073519,Good,Good
969,0.1003959387247021,0.8996040612752979,Good,Good
972,0.1847697000649794,0.8152302999350206,Good,Good
981,0.08155409688730486,0.9184459031126951,Good,Bad
983,0.3266632622400899,0.6733367377599101,Good,Good
985,0.02351165300490221,0.9764883469950978,Good,Good
988,0.03488261861361519,0.9651173813863848,Good,Good
990,0.11836139168449078,0.8816386083155092,Good,Good
992,0.30396241008983993,0.6960375899101601,Good,Good
996,0.04208444844773873,0.9579155515522613,Good,Good
998,0.08844912046162667,0.9115508795383733,Good,Good
