,QikProp_.stars,QikProp_.amine,QikProp_.acid,QikProp_.rotor,QikProp_.rctvFG,QikProp_CNS,QikProp_MW,QikProp_dipole,QikProp_SASA,QikProp_FOSA,QikProp_FISA,QikProp_PISA,QikProp_WPSA,QikProp_volume,QikProp_donorHB,QikProp_accptHB,QikProp_dip.2.V,QikProp_ACxDN..5.SA,QikProp_glob,QikProp_QPpolrz,QikProp_QPlogPC16,QikProp_QPlogPoct,QikProp_QPlogPw,QikProp_QPlogPo.w,QikProp_QPlogS,QikProp_QPlogHERG,QikProp_QPPCaco,QikProp_QPlogBB,QikProp_QPPMDCK,QikProp_QPlogKp,QikProp_IP.eV.,QikProp_EA.eV.,QikProp_.metabol,QikProp_QPlogKhsa,moeGao_Abra_L,moeGao_Abra_R,moeGao_Abra_acidity,moeGao_Abra_basicity,moeGao_Abra_pi,moe2D_BCUT_PEOE_0,moe2D_BCUT_PEOE_1,moe2D_BCUT_PEOE_2,moe2D_BCUT_PEOE_3,moe2D_BCUT_SLOGP_0,moe2D_BCUT_SLOGP_1,moe2D_BCUT_SLOGP_2,moe2D_BCUT_SLOGP_3,moe2D_BCUT_SMR_0,moe2D_BCUT_SMR_1,moe2D_BCUT_SMR_2,moe2D_BCUT_SMR_3,moe2D_GCUT_PEOE_0,moe2D_GCUT_PEOE_1,moe2D_GCUT_PEOE_2,moe2D_GCUT_PEOE_3,moe2D_GCUT_SLOGP_0,moe2D_GCUT_SLOGP_1,moe2D_GCUT_SLOGP_2,moe2D_GCUT_SLOGP_3,moe2D_GCUT_SMR_0,moe2D_GCUT_SMR_1,moe2D_GCUT_SMR_2,moe2D_GCUT_SMR_3,moe2D_Kier1,moe2D_Kier2,moe2D_Kier3,moe2D_KierA1,moe2D_KierA2,moe2D_KierA3,moe2D_KierFlex,moe2D_PEOE_PC.,moe2D_PEOE_PC..1,moe2D_PEOE_RPC.,moe2D_PEOE_RPC..1,moe2D_PEOE_VSA.0,moe2D_PEOE_VSA.1,moe2D_PEOE_VSA.2,moe2D_PEOE_VSA.3,moe2D_PEOE_VSA.4,moe2D_PEOE_VSA.5,moe2D_PEOE_VSA.6,moe2D_PEOE_VSA.0.1,moe2D_PEOE_VSA.1.1,moe2D_PEOE_VSA.2.1,moe2D_PEOE_VSA.3.1,moe2D_PEOE_VSA.4.1,moe2D_PEOE_VSA.5.1,moe2D_PEOE_VSA.6.1,moe2D_PEOE_VSA_FHYD,moe2D_PEOE_VSA_FNEG,moe2D_PEOE_VSA_FPNEG,moe2D_PEOE_VSA_FPOL,moe2D_PEOE_VSA_FPOS,moe2D_PEOE_VSA_FPPOS,moe2D_PEOE_VSA_HYD,moe2D_PEOE_VSA_NEG,moe2D_PEOE_VSA_PNEG,moe2D_PEOE_VSA_POL,moe2D_PEOE_VSA_POS,moe2D_PEOE_VSA_PPOS,moe2D_Q_PC.,moe2D_Q_PC..1,moe2D_Q_RPC.,moe2D_Q_RPC..1,moe2D_Q_VSA_FHYD,moe2D_Q_VSA_FNEG,moe2D_Q_VSA_FPNEG,moe2D_Q_VSA_FPOL,moe2D_Q_VSA_FPOS,moe2D_Q_VSA_FPPOS,moe2D_Q_VSA_HYD,moe2D_Q_VSA_NEG,moe2D_Q_VSA_PNEG,moe2D_Q_VSA_POL,moe2D_Q_VSA_POS,moe2D_Q_VSA_PPOS,moe2D_SMR,moe2D_SMR_VSA0,moe2D_SMR_VSA1,moe2D_SMR_VSA2,moe2D_SMR_VSA3,moe2D_SMR_VSA4,moe2D_SMR_VSA5,moe2D_SMR_VSA6,moe2D_SMR_VSA7,moe2D_SlogP,moe2D_SlogP_VSA0,moe2D_SlogP_VSA1,moe2D_SlogP_VSA2,moe2D_SlogP_VSA3,moe2D_SlogP_VSA4,moe2D_SlogP_VSA5,moe2D_SlogP_VSA6,moe2D_SlogP_VSA7,moe2D_SlogP_VSA8,moe2D_SlogP_VSA9,moe2D_TPSA,moe2D_VAdjEq,moe2D_VAdjMa,moe2D_VDistEq,moe2D_VDistMa,moe2D_Weight,moe2D_a_IC,moe2D_a_ICM,moe2D_a_acc,moe2D_a_aro,moe2D_a_count,moe2D_a_don,moe2D_a_heavy,moe2D_a_hyd,moe2D_a_nBr,moe2D_a_nC,moe2D_a_nCl,moe2D_a_nF,moe2D_a_nH,moe2D_a_nN,moe2D_a_nO,moe2D_a_nS,moe2D_apol,moe2D_b_1rotN,moe2D_b_1rotR,moe2D_b_ar,moe2D_b_count,moe2D_b_double,moe2D_b_heavy,moe2D_b_rotN,moe2D_b_rotR,moe2D_b_single,moe2D_b_triple,moe2D_balabanJ,moe2D_bpol,moe2D_chi0,moe2D_chi0_C,moe2D_chi0v,moe2D_chi0v_C,moe2D_chi1,moe2D_chi1_C,moe2D_chi1v,moe2D_chi1v_C,moeGao_chi2_C,moeGao_chi2v_C,moeGao_chi3c,moeGao_chi3c_C,moeGao_chi3cv,moeGao_chi3cv_C,moeGao_chi3p,moeGao_chi3p_C,moeGao_chi3pv,moeGao_chi3pv_C,moeGao_chi4c,moeGao_chi4c_C,moeGao_chi4ca,moeGao_chi4ca_C,moeGao_chi4cav,moeGao_chi4cav_C,moeGao_chi4cv,moeGao_chi4cv_C,moeGao_chi4pc,moeGao_chi4pc_C,moeGao_chi4pcv,moeGao_chi4pcv_C,moe2D_chiral,moe2D_density,moe2D_diameter,moe2D_kS_aaCH,moe2D_kS_aaN,moe2D_kS_aaNH,moe2D_kS_aaS,moe2D_kS_aaaC,moe2D_kS_aasC,moe2D_kS_aasN,moe2D_kS_dO,moe2D_kS_ddssS,moe2D_kS_dsCH,moe2D_kS_dssC,moe2D_kS_sBr,moe2D_kS_sCH3,moe2D_kS_sCl,moe2D_kS_sF,moe2D_kS_sNH2,moe2D_kS_sOH,moe2D_kS_ssCH2,moe2D_kS_ssNH,moe2D_kS_ssO,moe2D_kS_ssS,moe2D_kS_sssCH,moe2D_kS_sssN,moe2D_kS_ssssC,moe2D_kS_tNH,moe2D_kS_tsC,moe2D_lip_acc,moe2D_lip_don,moe2D_lip_violation,moe2D_logP.o.w.,moe2D_logS,moe2D_mr,moe2D_opr_brigid,moe2D_opr_nring,moe2D_opr_nrot,moe2D_opr_violation,moe2D_petitjean,moe2D_petitjeanSC,moe2D_radius,moe2D_reactive,moe2D_rings,moe2D_vdw_area,moe2D_vdw_vol,moe2D_vsa_acc,moe2D_vsa_don,moe2D_vsa_hyd,moe2D_vsa_other,moe2D_vsa_pol,moe2D_weinerPath,moe2D_weinerPol,moe2D_zagreb
116,0,0,0,1,1,0,342.409,6.397,568.601,300.689,75.585,191.677,0.65,1020.125,0.0,5.5,0.0401191,0.0,0.8619052,35.86,9.589,15.096,8.456,3.077,-4.064,-5.879,2499.784,-0.104,1833.455,-2.141,8.898,0.433,2,0.162,11.37,2.371,0.03,0.817,2.272,-2.466,-0.6287,0.6383,2.58,-2.435,-0.5125,0.7649,2.767,-2.216,-0.4458,0.8216,2.88,-0.8875,-0.448,0.04672,2.661,-0.9436,-0.3323,0.1593,2.819,-0.5231,-0.1944,0.1767,2.957,17.42,6.958,3.618,14.62,5.795,2.996,3.531,2.101,-2.101,0.1207,0.225,50.1,38.39,29.71,41.93,0.0,4.185,0.0,83.96,12.25,6.513,0.0,0.0,0.0,37.02,0.8645,0.4596,0.1218,0.1355,0.5404,0.01376,262.9,139.7,37.02,41.21,164.3,4.185,3.417,-3.417,0.3523,0.1902,0.7871,0.4322,0.1218,0.2129,0.5678,0.09115,239.3,131.4,37.02,64.74,172.7,27.71,9.278,48.17,22.0,1.551,16.86,6.371,180.1,22.98,38.57,3.914,22.0,48.17,6.879,22.98,6.371,33.24,0.0,129.9,56.61,10.49,52.6,0.4489,5.755,3.405,8.858,342.4,62.71,1.493,4,12,42,0,24,17,0,19,0,0,18,0,4,1,51.55,3,0.1111,12,45,1,27,3,0.1111,32,0,1.358,29.99,16.73,12.82,14.23,11.37,11.52,7.916,9.839,6.017,6.507,4.321,2.449,0.6055,0.9664,0.3434,9.163,5.629,4.852,3.29,0.2887,0.0,6.786,4.303,3.055,2.15,0.05103,0.0,4.588,1.805,1.844,0.9297,0,0.7755,12,4.955,0.0,0.0,0.0,0.0,-2.502,0.0,7.914,4.016,0.0,20.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.15,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,3.645,-4.802,9.29,21,4,3,0,0.5,1.0,6,0,4,304.1,441.6,37.02,0.0,230.8,23.43,0.0,1379,37,134
117,0,0,0,5,0,0,392.392,4.507,597.083,161.51,74.639,227.844,133.091,1068.155,0.0,4.75,0.0190197,0.0,0.8463561,35.559,9.506,14.836,7.23,4.242,-4.966,-6.626,2556.725,-0.445,1879.639,-1.612,9.281,1.105,1,0.316,8.064,1.327,0.03,0.246,1.639,-2.42,-0.6404,0.6287,2.424,-2.434,-0.471,0.8314,2.504,-2.046,-0.4325,0.821,2.789,-0.8875,-0.4593,0.03241,2.563,-0.8867,-0.2799,0.1797,2.739,-0.4833,-0.1974,0.1842,2.868,21.7,8.789,4.951,17.09,6.852,3.832,4.336,2.282,-2.282,0.1111,0.2071,49.51,51.18,21.25,47.79,0.0,4.185,0.0,82.36,12.25,6.513,0.0,35.73,0.0,34.52,0.7844,0.4963,0.2034,0.2156,0.5037,0.01212,270.9,171.4,70.25,74.43,173.9,4.185,3.592,-3.592,0.3352,0.181,0.8088,0.535,0.09997,0.1912,0.465,0.09126,279.3,184.7,34.52,66.03,160.6,31.51,9.879,48.17,55.88,1.551,5.243,40.11,158.8,0.0,73.95,5.664,11.0,48.17,6.879,0.0,0.0,68.63,0.0,198.9,0.0,50.12,43.37,0.4006,5.858,3.443,9.228,392.4,71.93,1.713,3,18,42,0,27,22,0,20,0,3,15,0,3,1,52.18,4,0.1379,18,44,0,29,4,0.1379,26,0,1.685,28.4,19.77,13.56,15.28,11.7,12.7,8.066,9.731,5.714,6.519,3.915,2.99,0.6055,1.039,0.311,9.929,5.537,4.399,2.804,0.2887,0.0,7.666,4.527,2.898,1.942,0.05103,0.0,5.747,1.77,1.8,0.7599,0,0.8405,13,1.673,0.0,0.0,0.0,21.06,0.0,0.0,-2.753,28.78,0.0,0.0,0.0,8.022,0.0,51.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,5.544,-7.314,9.896,18,3,4,0,0.4615,0.8571,7,0,3,345.3,466.9,34.52,0.0,285.1,14.97,0.0,1840,46,144
118,1,0,0,6,0,-2,444.279,4.036,620.598,77.194,133.616,210.38,199.409,1119.863,2.0,5.25,0.014544,0.0119636,0.840358,36.819,11.712,18.949,10.806,4.136,-5.673,-7.019,628.703,-1.083,399.153,-2.665,9.61,1.253,1,0.438,9.276,1.708,0.386,-0.222,1.279,-2.33,-0.6567,0.6507,2.361,-2.572,-0.3998,0.8818,2.512,-1.981,-0.3917,0.8714,2.724,-0.7801,-0.4342,0.03268,2.55,-1.348,-0.2527,0.3059,2.74,-0.4833,-0.1708,0.3099,2.865,22.68,9.013,5.024,20.17,7.981,4.434,5.75,1.807,-1.807,0.156,0.1909,76.85,55.96,8.459,18.04,0.0,4.185,0.0,82.36,59.16,0.0,9.044,55.83,0.0,2.504,0.8321,0.561,0.1567,0.1679,0.439,0.01124,309.9,208.9,58.34,62.52,163.5,4.185,4.583,-4.583,0.3157,0.2134,0.7425,0.6143,0.117,0.2575,0.3857,0.1405,276.5,228.8,43.56,95.91,143.6,52.34,10.71,48.17,40.92,1.551,5.243,69.28,141.1,0.0,120.3,5.857,42.29,48.17,6.641,0.0,0.0,36.93,0.0,179.1,0.0,113.5,69.39,0.3898,5.907,3.449,9.339,444.3,82.09,2.002,3,18,41,1,28,22,0,19,2,2,13,1,3,1,53.99,4,0.1333,18,43,0,30,4,0.1333,25,0,1.718,25.19,20.64,12.43,16.67,10.62,13.11,7.899,10.07,5.631,6.369,3.851,3.195,0.6055,1.155,0.311,10.3,5.377,4.862,2.746,0.2887,0.0,8.286,4.37,3.529,1.894,0.02946,0.0,6.165,1.748,2.085,0.7535,0,0.9152,13,0.9613,0.0,0.0,0.0,17.38,-4.563,0.0,-3.288,28.38,0.0,0.0,0.0,7.85,34.01,28.59,4.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,5.84,-8.573,10.71,18,3,4,0,0.4615,0.8571,7,0,3,372.4,485.4,34.52,20.14,285.2,18.56,0.0,2002,49,150
119,1,0,0,3,0,-2,448.271,2.152,629.756,108.18,148.035,177.264,196.278,1126.544,2.0,6.75,0.0041122,0.0151582,0.8314282,38.697,11.613,20.345,12.74,3.424,-5.853,-7.067,446.168,-1.002,273.288,-3.335,9.672,1.481,2,0.343,9.055,1.77,0.455,-0.15,1.32,-2.324,-0.6193,0.6689,2.37,-2.572,-0.388,0.824,2.484,-1.974,-0.2923,0.9053,2.722,-0.8172,-0.4037,0.03616,2.534,-1.348,-0.2924,0.2064,2.669,-0.4833,-0.1224,0.3261,2.832,22.68,9.013,5.024,20.29,8.029,4.461,5.818,2.096,-2.096,0.1348,0.1646,79.06,65.09,19.42,0.0,0.0,16.46,0.0,61.27,59.16,0.0,18.46,55.83,0.0,2.504,0.8017,0.5228,0.1546,0.1983,0.4772,0.04364,302.5,197.2,58.34,74.8,180.0,16.46,5.668,-5.668,0.2553,0.1726,0.6074,0.6344,0.2213,0.3926,0.3656,0.1713,229.2,239.3,83.5,148.1,137.9,64.62,10.27,48.17,59.36,1.551,24.28,46.99,123.5,0.0,120.3,4.588,42.29,66.61,6.641,0.0,2.757,36.93,0.0,139.2,16.28,113.5,87.21,0.3898,5.907,3.46,9.338,448.3,88.56,2.16,4,17,41,1,28,17,0,17,2,2,13,3,3,1,52.67,5,0.1667,17,43,0,30,5,0.1667,26,0,1.705,27.17,20.64,11.15,16.56,9.619,13.11,6.416,9.965,4.592,4.334,2.613,3.223,0.1667,1.123,0.08333,10.13,2.905,4.654,1.473,0.2887,0.0,7.918,1.923,3.243,0.8229,0.02946,0.0,6.085,0.3103,1.971,0.1314,0,0.9439,13,0.6427,0.0,0.0,0.0,4.925,15.52,0.0,-3.295,28.34,0.0,0.0,0.0,7.838,5.58,32.36,4.061,0.0,0.0,0.0,0.0,0.0,28.55,0.0,0.0,0.0,0.0,6,1,0,3.681,-6.334,10.46,17,3,5,0,0.4615,0.8571,7,0,3,377.3,474.9,43.94,20.14,260.6,38.66,0.0,2024,47,150
120,0,0,0,2,0,-1,409.382,4.007,615.077,119.526,150.969,215.039,129.542,1083.279,2.0,6.75,0.0148185,0.0155199,0.8293329,37.968,10.463,19.994,13.085,2.965,-5.459,-7.064,416.088,-0.956,253.01,-3.352,9.252,1.434,1,0.271,8.587,1.647,0.386,0.148,1.482,-2.339,-0.5843,0.6754,2.486,-2.572,-0.5091,0.765,2.545,-2.111,-0.4232,0.8707,2.753,-0.8158,-0.401,0.05023,2.603,-1.348,-0.3518,0.1927,2.71,-0.5119,-0.2018,0.2132,2.885,21.24,7.922,4.542,16.98,6.276,3.575,3.805,2.096,-2.096,0.208,0.1642,62.59,79.46,0.0,6.7,0.0,4.185,9.046,72.18,12.25,0.0,54.19,32.02,0.0,2.504,0.8575,0.5167,0.103,0.1425,0.4833,0.03948,287.4,173.2,34.52,47.75,162.0,13.23,5.947,-5.947,0.2433,0.1644,0.5621,0.6163,0.2847,0.4379,0.3837,0.1532,188.4,206.5,95.41,146.8,128.6,51.34,9.469,48.17,74.32,9.31,11.19,39.99,160.0,20.93,6.641,3.452,42.29,66.61,6.641,20.93,5.942,20.42,7.76,149.8,0.0,50.12,87.21,0.3989,5.954,3.422,9.34,409.4,83.85,1.996,4,17,42,1,28,17,0,18,0,3,14,3,3,1,51.29,3,0.09677,17,45,0,31,4,0.129,28,0,1.458,28.63,20.1,11.61,15.09,10.03,13.13,7.446,9.74,5.49,5.265,3.286,3.96,0.3333,0.9885,0.1854,10.43,3.751,4.627,1.993,0.5774,0.0,7.579,2.619,2.854,1.173,0.04296,0.0,6.377,0.6639,1.741,0.32,0,0.8964,12,48.94,1.408,0.0,0.0,4.799,19.88,0.0,0.0,0.6184,0.0,0.0,0.0,0.0,0.0,28.42,0.0,0.0,6.558,0.0,0.0,0.0,0.0,0.0,1.241,0.0,0.0,6,1,0,2.718,-5.604,9.732,21,4,3,0,0.5,1.0,6,0,4,335.1,456.7,43.94,20.14,217.7,38.66,0.0,2000,45,158
121,2,0,0,1,0,0,415.515,7.226,662.845,83.432,81.767,372.544,125.101,1172.561,0.0,5.5,0.0445343,0.0,0.8112914,43.688,12.592,18.7,9.891,4.643,-6.45,-7.5,2157.985,-0.251,1558.62,-1.618,9.079,1.866,2,0.639,8.427,0.835,0.03,0.606,0.534,-2.419,-0.6262,0.7132,2.423,-2.434,-0.5228,0.8059,2.49,-2.044,-0.4846,0.8804,2.789,-0.8875,-0.4284,0.08363,2.515,-0.8301,-0.2639,0.1943,2.704,-0.4453,-0.2011,0.254,2.856,20.28,8.394,4.609,17.63,7.257,3.969,4.74,2.153,-2.153,0.1178,0.2196,39.66,49.35,21.82,60.24,0.0,4.185,0.0,79.92,28.69,20.74,0.0,11.91,5.683,32.02,0.8481,0.5052,0.14,0.1519,0.4948,0.01181,300.4,179.0,49.61,53.79,175.3,4.185,3.847,-3.847,0.3129,0.1689,0.8507,0.6614,0.1064,0.1493,0.3386,0.04288,301.3,234.3,37.7,52.89,119.9,15.19,11.0,48.17,31.75,1.551,0.0,21.9,192.2,0.0,101.1,6.02,0.0,64.96,6.879,0.0,0.0,33.24,0.0,214.1,0.0,77.52,47.03,0.4102,5.907,3.414,9.232,415.5,73.16,1.784,3,22,41,0,27,21,0,20,0,1,14,1,2,3,56.5,4,0.1333,22,44,0,30,4,0.1333,22,0,1.43,28.86,19.02,13.4,16.67,11.35,12.91,8.008,11.62,5.598,5.67,3.331,2.738,0.3333,1.258,0.1667,10.03,3.993,6.447,1.967,0.2887,0.0,7.208,2.722,3.98,1.133,0.05103,0.0,4.961,0.6639,2.609,0.2758,0,0.8476,12,5.832,0.0,0.0,16.3,29.37,4.781,0.0,-0.2918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,5.153,-7.789,11.21,22,4,4,0,0.5,1.0,6,0,4,354.2,490.2,37.7,0.0,284.7,21.89,0.0,1846,41,148
122,2,0,0,1,0,0,461.928,6.399,701.126,83.432,80.101,386.273,151.319,1246.308,0.0,5.5,0.032857,0.0,0.798827,46.77,13.022,19.733,10.085,5.249,-7.306,-7.715,2245.221,-0.259,1628.359,-1.539,9.228,1.643,1,0.869,9.877,1.337,0.03,0.528,1.423,-2.419,-0.6523,0.685,2.424,-2.434,-0.4724,0.8592,2.496,-2.044,-0.4734,0.9068,2.789,-0.8875,-0.4276,0.06357,2.558,-0.8301,-0.2506,0.2122,2.748,-0.4453,-0.1974,0.2542,2.891,23.17,9.469,5.168,19.66,7.988,4.341,5.235,2.265,-2.265,0.112,0.2087,54.38,53.62,30.84,40.48,0.0,4.185,0.0,67.67,66.35,6.513,0.0,23.82,5.683,32.02,0.8296,0.524,0.1596,0.1704,0.476,0.01085,319.8,202.0,61.52,65.7,183.5,4.185,4.174,-4.174,0.2884,0.1557,0.8628,0.6589,0.09778,0.1372,0.3411,0.03939,332.7,254.0,37.7,52.89,131.5,15.19,11.81,48.17,46.71,1.551,0.0,36.34,194.1,0.0,109.0,7.048,0.0,64.96,6.879,0.0,0.0,33.24,0.0,230.4,0.0,100.3,47.03,0.3782,6.044,3.452,9.55,461.9,82.8,1.882,3,23,44,0,30,24,0,22,1,2,14,1,2,2,59.85,4,0.1212,23,47,0,33,4,0.1212,24,0,1.486,28.21,21.47,14.55,17.95,12.35,14.24,9.082,11.84,6.387,6.774,4.017,3.148,0.4388,1.36,0.2277,11.13,4.884,6.212,2.426,0.2887,0.0,8.928,3.411,4.273,1.428,0.05103,0.0,5.895,0.7954,2.648,0.3406,0,0.8717,12,5.811,0.0,0.0,0.0,26.6,5.587,0.0,-1.933,0.0,0.0,0.0,0.0,0.0,14.49,34.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,6.401,-9.195,11.93,23,4,4,2,0.5,1.0,6,0,4,385.5,529.9,37.7,0.0,316.0,21.89,0.0,2394,50,164
123,1,0,0,2,0,-1,415.817,3.721,604.159,48.03,149.97,217.506,188.653,1070.537,2.0,6.0,0.0129363,0.0140448,0.8376867,37.482,10.778,19.713,12.395,3.391,-5.766,-7.165,426.102,-0.918,259.745,-3.325,9.63,1.476,1,0.366,8.22,1.553,0.386,-0.176,1.304,-2.325,-0.6222,0.6822,2.426,-2.572,-0.5381,0.8059,2.506,-2.009,-0.4999,0.8543,2.724,-0.8151,-0.3836,0.02812,2.579,-1.348,-0.2639,0.2039,2.691,-0.4786,-0.204,0.2,2.863,21.7,8.025,4.776,18.18,6.673,3.95,4.492,1.911,-1.911,0.2283,0.1239,73.59,47.52,0.0,6.7,0.0,4.185,9.046,67.77,54.09,0.0,54.19,32.02,0.0,0.0,0.8704,0.596,0.09171,0.1296,0.404,0.0379,303.9,208.1,32.02,45.25,141.0,13.23,5.799,-5.799,0.2495,0.1686,0.6296,0.6692,0.2661,0.3704,0.3308,0.1042,219.8,233.6,92.91,129.3,115.5,36.39,9.558,48.17,63.32,9.31,5.942,43.49,141.1,0.0,79.12,4.505,31.29,66.61,6.641,0.0,5.942,1.551,7.76,153.3,0.0,117.4,77.98,0.4006,5.858,3.359,9.239,415.8,83.77,2.094,3,17,40,1,27,18,0,17,1,3,13,3,2,1,50.24,3,0.1034,17,42,0,29,4,0.1379,25,0,1.749,26.04,19.98,11.2,15.4,9.619,12.48,7.132,9.467,5.143,5.154,3.164,4.056,0.3591,1.124,0.2083,9.582,3.472,4.402,1.789,0.5774,0.0,7.521,2.39,2.831,1.022,0.04296,0.0,6.226,0.5393,1.88,0.2629,0,0.9211,12,4.737,0.0,0.0,0.0,0.0,18.36,0.0,-3.308,28.31,0.0,0.0,0.0,13.44,49.13,7.826,4.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0,3.668,-6.265,9.79,17,3,3,0,0.5,1.0,6,0,3,349.1,451.4,41.44,20.14,243.4,30.2,0.0,1782,45,148
124,1,0,0,1,0,0,360.418,6.615,618.637,272.083,75.583,198.64,72.331,1094.396,0.0,4.0,0.0399862,0.0,0.8301924,38.899,9.661,15.628,7.084,4.597,-6.133,-6.525,2499.909,-0.155,1833.556,-2.117,9.56,0.52,2,0.787,10.78,2.072,0.03,0.157,1.935,-2.447,-0.6261,0.6797,2.869,-2.435,-0.4559,0.8059,3.007,-2.192,-0.4634,0.8543,3.138,-0.8875,-0.4244,0.04531,2.755,-0.8301,-0.2639,0.1874,2.905,-0.5048,-0.1928,0.1931,3.04,18.37,6.558,3.453,15.3,5.418,2.836,3.316,1.888,-1.888,0.1343,0.2503,73.1,29.86,30.84,20.72,0.0,4.185,0.0,90.45,0.0,6.513,0.0,23.82,0.0,32.02,0.8073,0.4905,0.1792,0.1927,0.5095,0.01343,251.5,152.8,55.83,60.02,158.7,4.185,3.662,-3.662,0.3287,0.1775,0.7646,0.5381,0.1587,0.2354,0.4619,0.07678,238.2,167.6,49.42,73.33,143.9,23.92,9.492,48.17,29.92,1.551,6.371,24.61,199.0,0.0,38.57,5.396,0.0,48.17,6.879,0.0,6.371,33.24,0.0,148.1,75.47,29.92,34.14,0.4351,5.807,3.344,9.001,360.4,67.83,1.577,2,12,43,0,25,22,0,20,0,2,18,0,2,1,52.82,3,0.1071,12,46,1,28,3,0.1071,33,0,1.447,28.56,17.82,13.32,14.67,11.87,11.77,8.83,10.15,6.931,7.441,5.302,3.317,1.282,1.662,1.039,8.891,6.189,4.991,3.87,0.4137,0.125,6.98,4.829,3.282,2.61,0.176,0.125,5.215,2.407,2.354,1.522,0,0.7992,12,0.5353,0.0,0.0,0.0,0.0,28.87,0.0,8.658,0.0,0.0,17.67,0.0,0.0,0.0,-0.1078,0.0,0.0,3.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,4.544,-6.365,9.495,20,4,3,0,0.5,1.0,6,0,4,311.5,451.0,32.02,0.0,260.2,6.513,0.0,1470,40,144
125,0,0,0,4,0,0,372.429,3.591,629.495,233.628,74.714,232.244,88.909,1111.863,0.0,4.0,0.0116003,0.0,0.8245305,37.992,10.169,14.937,6.706,4.805,-5.934,-6.755,2552.111,-0.401,1875.892,-1.694,9.264,0.949,2,0.697,8.613,1.453,0.03,0.222,1.607,-2.42,-0.6013,0.5641,2.424,-2.434,-0.3729,0.7843,2.514,-2.064,-0.3879,0.773,2.789,-0.8875,-0.4304,0.002782,2.607,-0.8301,-0.2473,0.163,2.779,-0.4791,-0.1692,0.175,2.916,20.73,8.163,4.716,16.28,6.347,3.64,3.975,1.977,-1.977,0.1283,0.2391,50.1,38.39,12.8,38.77,0.0,4.185,0.0,99.77,36.76,6.513,0.0,23.82,0.0,32.02,0.8251,0.5796,0.1627,0.1749,0.4204,0.0122,283.1,198.9,55.83,60.02,144.2,4.185,3.326,-3.326,0.3619,0.1954,0.8877,0.5092,0.09331,0.1123,0.4908,0.01898,304.6,174.7,32.02,38.53,168.4,6.513,10.11,48.17,29.92,1.551,6.371,30.98,158.8,0.0,105.2,5.862,0.0,48.17,6.879,0.0,6.371,33.24,0.0,189.8,0.0,96.57,34.14,0.4121,5.807,3.373,9.122,372.4,68.92,1.566,2,18,44,0,26,23,0,21,0,2,18,0,2,1,54.58,3,0.1071,18,46,0,28,3,0.1071,28,0,1.692,28.56,19.06,14.56,15.49,12.7,12.16,9.22,9.929,6.714,8.002,4.992,3.059,1.077,1.214,0.5997,9.656,6.866,4.754,3.654,0.2887,0.0,7.148,5.299,2.973,2.336,0.05103,0.0,5.816,2.877,2.18,1.371,0,0.78,12,2.756,0.0,0.0,0.0,23.33,0.0,0.0,-2.688,28.82,0.0,0.0,0.0,13.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,6.031,-7.916,10.12,18,3,3,0,0.5,1.0,6,0,3,343.1,477.5,32.02,0.0,291.8,6.513,0.0,1642,44,140
