,Palmitic,Stearic,Oleic,Linoleic,Linolenic,Eicosanoic,Eicosenoic
116,6.2,4.1,29.9,57.8,1.3,0.1,0.1
117,6.6,4.7,24.5,62.8,0.3,0.4,0.1
118,6.4,4.4,24.4,63.7,0.4,0.4,0.1
119,5.4,2.0,53.2,28.9,7.3,0.6,1.3
120,5.1,1.9,59.2,22.4,9.3,0.6,1.5
121,10.7,1.8,30.2,55.5,0.9,0.5,0.3
129,4.5,1.7,64.9,18.6,8.3,0.1,0.1
130,5.7,2.1,54.6,26.8,8.0,0.1,0.1
131,6.2,2.2,52.2,29.0,8.0,0.1,0.1
132,9.7,3.9,25.1,54.2,5.9,0.1,0.1
