,0,1,2
127,42.1,45.0,11.8
128,42.2,45.7,11.0
129,54.1,29.8,15.7
130,72.8,5.9,20.7
131,41.4,46.0,12.5
132,76.1,1.4,21.6
133,74.0,4.6,20.8
134,72.5,6.4,20.9
135,70.3,8.5,21.0
136,65.7,11.0,16.3
137,64.6,13.5,16.7
138,63.6,17.0,19.7
139,62.4,22.4,11.5
140,54.2,27.9,17.6
141,52.5,31.5,16.0
142,41.2,46.5,11.1
143,71.1,6.1,21.5
144,75.6,2.0,21.4
145,73.9,4.7,21.1
146,73.5,5.3,21.6
147,73.1,6.0,19.6
148,72.4,6.4,20.6
149,72.6,6.8,19.6
150,73.4,7.1,18.8
151,71.9,7.3,20.1
152,71.8,7.8,20.2
153,70.9,9.0,19.9
154,65.7,10.0,19.7
155,69.2,10.5,19.6
156,68.7,11.0,20.0
157,67.5,12.2,20.1
158,65.2,14.0,20.5
159,62.7,15.9,21.0
160,66.2,16.5,17.2
161,63.2,17.7,19.0
162,61.7,18.8,19.5
163,60.3,23.4,16.3
164,56.9,26.7,15.6
165,55.6,28.3,16.3
166,55.5,28.9,15.2
167,53.3,31.1,16.3
168,52.2,33.7,14.2
169,49.5,35.2,15.2
170,48.5,38.5,12.2
171,42.1,46.3,11.5
172,40.7,47.7,11.8
173,58.3,25.5,15.5
174,69.3,10.6,19.3
175,75.6,2.0,21.4
176,70.7,4.7,20.5
177,72.6,6.8,19.6
178,71.5,8.6,19.4
179,72.9,11.2,13.7
180,71.3,13.8,12.6
181,59.7,17.7,15.8
182,59.8,23.3,16.4
183,55.5,29.0,16.6
184,50.3,34.8,14.6
185,41.0,47.8,11.6
186,65.2,11.1,19.2
187,72.7,2.9,21.7
188,72.1,4.8,21.6
189,73.5,5.6,20.0
190,73.6,6.2,19.3
191,72.5,6.4,20.9
192,73.4,6.8,18.7
193,72.0,7.1,19.0
194,73.2,7.3,19.9
195,71.9,7.9,19.1
196,69.5,9.2,21.5
197,67.9,10.1,19.5
198,71.1,10.7,17.7
199,65.7,11.2,19.4
200,68.1,12.5,18.6
201,66.8,14.3,17.4
202,64.7,16.0,19.0
203,63.6,17.0,19.7
204,63.0,18.1,18.6
205,62.5,19.4,17.9
206,55.3,24.8,19.3
207,56.6,27.2,15.7
208,54.4,28.4,14.4
209,55.4,29.2,15.0
210,53.4,31.3,15.3
211,51.6,33.8,13.8
212,50.3,35.5,13.2
213,44.9,42.5,12.0
214,41.0,47.8,11.6
